Title,Image,Category,Description,Time (1-2-3),Effort (1-2-3),Greenpoints,Money (1-2-3),Step 1,Step 2,Step 3,step 4
Collect Beach Plastic,https://images.unsplash.com/photo-1558640476-437a2b9438a2?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,"The world population is living, working, vacationing, increasingly conglomerating along the coasts, and standing on the front row of the greatest, most unprecedented, plastic waste tide ever faced.
Washed out on our coasts in obvious and clearly visible form, the plastic pollution spectacle blatantly unveiling on our beaches is only the prelude of the greater story that unfolded further away in the world’s oceans, yet mostly originating from where we stand: the land.

Take on this challenge make your own little contribution to keeping your favourite beaches clean and protecting all the wonderful animals living across the shore.",2,1,2,1,Choose your beach.,Collect at least 2 full bags of plastic waste.,Upload a picture of your achievement.,
Exchange Books,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Shopping,"Instead of selling your book back for a fraction of the cost, you participate in a book exchange by agreeing to mail your book to someone who requests it and receiving your own request in the mail. Your old book finds a reader, and in return, you get a new used book to read.
One amazing aspect of participating in a book exchange is the benefit to the environment. According to Greenpeace, one Canadian Spruce tree can produce only 24 books. This means with only a couple of dozen exchanges you will have saved a tree. Participating in a book exchange also saves on ink and leaves a smaller environmental footprint than printing a book.",1,2,5,1,Sort out books you've liked and that you are willing to exchange.,Organize a small book exchange event. ,Bring your picked books and write a note to invite your neighbours and friends to do the same.,Upload a picture of a new book you received.
Second Hand Clothes,https://images.unsplash.com/photo-1512436991641-6745cdb1723f?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Shopping,"The charity Oxfam contends that buying second-hand is not only more sustainable (undeniably, it utilizes no additional resources beyond transportation, compared to new clothing) but stylish, too.
Take on this challenge and sell your clothes to a second hand store or on a flee market. Maybe you'll find some for yourself while browsing there, too. :)",2,2,5,1,Locate a second hand shop or flee market nearby. ,Sell some of your sorted out clothes.,Upload a picture of a piece you sold or bought.,
Reusable Straw,https://images.unsplash.com/photo-1489532060612-9910b757430f?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,"The days where plastic straws and their wrappers litter the countertops of restaurants, coffee shops and fast food joints are nearing the end. With several governments, like Australia and the U.K., banning and taxing single-use plastic items and companies like Starbucks, Disney and Hyatt taking their own environmental stand by rejecting plastic straws, sustainable and reusable varieties of the pipettes have been growing in popularity.
Take on this challenge to jump onto this wonderfully sustainable trend.",1,1,2,1,Buy a beautiful reusable straw.,"Refuse plastic ones, and use your new one instead.",Upload a picture of sipping your favourite drink with your new straw.,
Buy Local Food,https://images.unsplash.com/photo-1477763858572-cda7deaa9bc5?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,"Locally owned business make more local purchases requiring less transportation and set up shops in city centers which generally means less sprawl, congestion, habitat loss and pollution.
Take on this challenge and explore shops nearby you selling local products.",1,1,2,1,Find shops close to you that sell local products.,Try to buy more products from those shops.,Upload a picture of your favourite new local shop or product.,
Bike To Work,https://images.unsplash.com/photo-1507035895480-2b3156c31fc8?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Mobility,"There are so many great reasons for taking on this challenge:
Bicycling uses no fuel.
Bicycles take a lot less energy to make than a car.
Bikes don’t require toxic batteries or motor oil.
Bicycling makes a great summer body.
Bicycling gives you a lot of fresh air.
Bicycling is fun. <3
Convinced? What are you waiting for.",2,2,5,2,"Get, borrow or rent a bike.",Try to bike to work whenever you can.,Upload a selfie when arrived at work with your bike.,
Replace Soaps,https://images.unsplash.com/photo-1454873019514-eae2f086587a?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Shopping,"Soap bars use much less packaging to store, and less water to produce. Plus, they tend to last a lot longer.
Take on this challenge and replace your soaps. ",1,1,2,1,,,,
 Renewable Energy,https://images.unsplash.com/photo-1440595228939-3673bdb622b4?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,"Planning for a home renewable energy system is a process that includes analyzing your existing electricity use, looking at local codes and requirements, deciding if you want to operate your system on or off of the electric grid, and understanding technology options you have for your site.
Maybe you are considering purchasing a renewable energy system to generate electricity at your home. Although it takes time and money to research, buy, and maintain a system, many people enjoy the independence they gain and the knowledge that their actions are helping the environment. <3
Take on the challenge and help your household go green!",3,3,10,3,,,,
Local Holidays,https://images.unsplash.com/photo-1439066290691-510066268af5?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Mobility,"Be it beautiful lakes, mountain hikes, cycling tours, city trips, wine tastings, camping by a fire place - The beauty often lies a lot closer than we think. No need to go far away to have a blast and relaxation during your holidays. :)",3,3,10,2,Explore opportunities to take a wonderful holiday 100km radius around you.,Plan or book your holidays.,Upload your favourite picture of your sustainable holiday.,
Plant Aromatic Plants,https://images.unsplash.com/photo-1502741384106-56538427cde9?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,"Herbs are great for your health, and also lots of fun to grow, if you grow them yourself. You can start your own herb garden indoors or on your balcony, especially if you have a windows, that get plenty of sunshine and air. As the weather gets cooler, it would be a great time to start your own indoor kitchen garden. Herbs are great for a quick salad and also for cooking. You can grow a variety of herbs and vegetables indoors that require minimal care and give you great results.
Take on this challenge and start growing your own favourite herbs.",3,2,5,1,Install small pots hanging out of your window or on your balcony.,Plant them and water them depending on need.,Make youself a tasty mint tea or pesto out of fresh basilicum. Upload a picture.,
