Title,Image,Category,Description,Time (1-2-3),Effort (1-2-3),Money (1-2-3),Step 1,Step 2,Step 3,step 4
Collect Beach Plastic,https://images.unsplash.com/photo-1556217256-f4e659e15103?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,"Next time you go to the beach, collect 3 wasted ",2,1,1,Set a date / find an event,Go to the event,Upload a picture,
Exchange Books,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Shopping,Implement a book swap in your building hall,1,2,1,Find a spot in your hall or install a shelf,Bring few books you have liked and write a note to invite your neighbours to do the same,take a picture of the new book you have got ,
Buy Second Hand Clothes,https://images.unsplash.com/photo-1512436991641-6745cdb1723f?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Shopping,"Sell your clothes to second hand store, buy new ones there ",2,2,1,Locate a shop nearby ,Enquire of the dates you can leave your clothes,Sell you clothes,Buy new clothes
Bring Reusable Straw,https://images.unsplash.com/photo-1489532060612-9910b757430f?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,Come with your reusable straw at the bar !,1,1,1,Buy an organic straw,Bring it everywhere,,
Buy Local Food,https://images.unsplash.com/photo-1477763858572-cda7deaa9bc5?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,Look for shops selling local products,,,,Find out about shops near,,,
Bike To Go to Work,https://images.unsplash.com/photo-1507035895480-2b3156c31fc8?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Mobility,Get some workout out done while having fun,2,2,2,Find out if one of your friends has a spare bike,Identify your itinerary and bicycle paths on the way,,
Replace Soaps,https://images.unsplash.com/photo-1454873019514-eae2f086587a?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Shopping,Replace your usual with solid ones,,,,,,,
Switch to renewable energy,https://images.unsplash.com/photo-1440595228939-3673bdb622b4?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Home,,,,,,,,
Plan Local Holidays,https://images.unsplash.com/photo-1439066290691-510066268af5?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Mobility,No need to go far away to have a blast during your vacations,3,3,3,There are many countryside houses waiting to be rented out,Look up within 100km a pretty house to rent,Take picture of your vacations and share them on instagram,
Plant Aromatic Plants,https://images.unsplash.com/photo-1502741384106-56538427cde9?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,Food,"Plant basilicum, mint outside of your window",2,2,1,Install small pots hanging out of your window,Plant them and water them every two days,Make youself a tasty mint tea or mae pesto out of your basilicum,
